,Kindom,Phylum,Class,Order,Family,Genus,Species
FDZ070.GBkY28.30.dereplicated_genomes.bin.47,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,,,
FDZ070.GBkY28.30.dereplicated_genomes.bin.49,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,,
FDZ070.GBkY28.30.dereplicated_genomes.bin.50,Bacteria,Proteobacteria,Alphaproteobacteria,UBA11136,UBA11136,,
FDZ070.GBkY28.30.dereplicated_genomes.bin.51,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,,
FDZ070.GBkY28.30.dereplicated_genomes.bin.52,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Casp-alpha2,Casp-alpha2,
FDZ070.GBkY28.30.dereplicated_genomes.bin.59,Bacteria,Proteobacteria,Alphaproteobacteria,CAIVPW01,CAIVPW01,,
FDZ070.GBkY28.30.dereplicated_genomes.bin.60,Bacteria,Marinisomatota,Marinisomatia,Marinisomatales,,,
FDZ070.GBkY28.30.dereplicated_genomes.bin.7,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
FDZ070.GBkY28.30.dereplicated_genomes.bin.70,Bacteria,Armatimonadota,UBA5377,UBA5377,,,
FDZ070.GBkY28.30.dereplicated_genomes.bin.82,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,UBA2170,
FDZ070.GBkY28.30.dereplicated_genomes.bin.83,Bacteria,Marinisomatota,Marinisomatia,SCGC-AAA003-L08,TS1B11,TS1B11,
FDZ070.GBkY28.30.dereplicated_genomes.bin.94,Bacteria,Myxococcota,Myxococcia,,,,
FDZ070.GBkY30.33.dereplicated_genomes.bin.14,Bacteria,Planctomycetota,Brocadiae,SM23-32,SM23-32,,
FDZ070.GBkY30.33.dereplicated_genomes.bin.37,Bacteria,Nitrospinota,UBA7883,,,,
FDZ070.GBkY30.33.dereplicated_genomes.bin.38,Bacteria,Marinisomatota,Marinisomatia,SCGC-AAA003-L08,,,
FDZ070.GBkY30.33.dereplicated_genomes.bin.48,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,
FDZ070.GBkY30.33.dereplicated_genomes.bin.49,Bacteria,Nitrospinota,,,,,
FDZ070.GBkY30.33.dereplicated_genomes.bin.60,Bacteria,Planctomycetota,PUPC01,,,,
FDZ070.GBkY30.33.dereplicated_genomes.bin.75,Bacteria,SM23-31,SM23-31,,,,
FDZ070.GBkY4.6.dereplicated_genomes.bin.48,Bacteria,Omnitrophota,Koll11,UBA10015,Kpj58rc,,
FDZ070.GBkY4.6.dereplicated_genomes.bin.6,Bacteria,SAR324,SAR324,SAR324,,,
FDZ070.GBkY4.6.dereplicated_genomes.bin.88,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,,,
FDZ070.GBkY4.6.dereplicated_genomes.bin.99,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,,,
FDZ070.GBkY6.8.dereplicated_genomes.bin.113,Bacteria,Omnitrophota,Koll11,UBA10015,Kpj58rc,,
FDZ070.GBkY6.8.dereplicated_genomes.bin.16,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Casp-alpha2,Casp-alpha2,
FDZ070.GBkY6.8.dereplicated_genomes.bin.25,Bacteria,Patescibacteria,ABY1,UBA2169,UBA2169,,
FDZ070.GBkY6.8.dereplicated_genomes.bin.50,Bacteria,Marinisomatota,Marinisomatia,SCGC-AAA003-L08,,,
FDZ070.GBkY6.8.dereplicated_genomes.bin.73,Bacteria,Actinobacteriota,Acidimicrobiia,UBA5794,UBA5794,B3-G11,
FDZ070.GBkY6.8.dereplicated_genomes.bin.82,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,,,
FDZ070.GBkY8.10.dereplicated_genomes.bin.111,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,UBA6623,,
FDZ070.GBkY8.10.dereplicated_genomes.bin.18,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,,,
FDZ070.GBkY8.10.dereplicated_genomes.bin.72,Bacteria,Proteobacteria,Alphaproteobacteria,MPNO01,UBA2964,,
FDZ070.GBkYWu.dereplicated_genomes.bin.100,Bacteria,Planctomycetota,UBA1135,UBA2386,UBA2386,,
FDZ070.GBkYWu.dereplicated_genomes.bin.68,Bacteria,Planctomycetota,UBA8742,UBA2392,,,
FDZ070.GBkYWu.dereplicated_genomes.bin.86,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,PALSA-1355,,
FDZ070.RYBk0.2.dereplicated_genomes.bin.129,Bacteria,Proteobacteria,Gammaproteobacteria,UBA6429,UBA6429,,
FDZ070.RYBk0.2.dereplicated_genomes.bin.29,Bacteria,Acidobacteriota,Thermoanaerobaculia,UBA5704,UBA5704,,
FDZ070.RYBk0.2.dereplicated_genomes.bin.44,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,UBA8639,
FDZ070.RYBk0.2.dereplicated_genomes.bin.83,Bacteria,Planctomycetota,UBA1135,UBA2386,UBA2386,,
FDZ070.RYBk0.2.dereplicated_genomes.bin.9,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,,,
FDZ070.RYBk0.2.dereplicated_genomes.bin.90,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,UBA9659,
FDZ070.RYBk12.14.dereplicated_genomes.bin.138,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,,
FDZ070.RYBk12.14.dereplicated_genomes.bin.149,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,,,
FDZ070.RYBk12.14.dereplicated_genomes.bin.77,Bacteria,Proteobacteria,Gammaproteobacteria,Woeseiales,Woeseiaceae,UBA1847,
FDZ070.RYBk12.14.dereplicated_genomes.bin.78,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,,,
FDZ070.RYBk14.16.dereplicated_genomes.bin.37,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,,
FDZ070.RYBk14.16.dereplicated_genomes.bin.74,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,GCA-002770795,,
FDZ070.RYBk16.18.dereplicated_genomes.bin.126,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,,
FDZ070.RYBk16.18.dereplicated_genomes.bin.42,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,
FDZ070.RYBk16.18.dereplicated_genomes.bin.72,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973,
FDZ070.RYBk18.20.dereplicated_genomes.bin.123,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
FDZ070.RYBk18.20.dereplicated_genomes.bin.164,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,,,
FDZ070.RYBk18.20.dereplicated_genomes.bin.172,Bacteria,SAR324,SAR324,SAR324,,,
FDZ070.RYBk18.20.dereplicated_genomes.bin.182,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,,,
FDZ070.RYBk18.20.dereplicated_genomes.bin.201,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,,
FDZ070.RYBk18.20.dereplicated_genomes.bin.25,Bacteria,Sumerlaeota,Sumerlaeia,,,,
FDZ070.RYBk18.20.dereplicated_genomes.bin.46,Bacteria,Planctomycetota,UBA1135,UBA1135,UBA1135,,
FDZ070.RYBk18.20.dereplicated_genomes.bin.51,Bacteria,Planctomycetota,Brocadiae,SM23-32,SM23-32,,
FDZ070.RYBk20.22.dereplicated_genomes.bin.101,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,,
FDZ070.RYBk20.22.dereplicated_genomes.bin.121,Bacteria,Planctomycetota,Brocadiae,SM23-32,SM23-32,,
FDZ070.RYBk20.22.dereplicated_genomes.bin.157,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
FDZ070.RYBk20.22.dereplicated_genomes.bin.22,Bacteria,Sumerlaeota,Sumerlaeia,UBA8349,UBA8349,,
FDZ070.RYBk20.22.dereplicated_genomes.bin.47,Bacteria,SAR324,SAR324,SAR324,,,
FDZ070.RYBk20.22.dereplicated_genomes.bin.48,Bacteria,CG03,SLGR01,SLGR01,,,
FDZ070.RYBk20.22.dereplicated_genomes.bin.63,Bacteria,Proteobacteria,Alphaproteobacteria,UBA8366,GCA-2717185,,
FDZ070.RYBk22.24.dereplicated_genomes.bin.103,Bacteria,Planctomycetota,Brocadiae,,,,
FDZ070.RYBk22.24.dereplicated_genomes.bin.122,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,,
FDZ070.RYBk22.24.dereplicated_genomes.bin.28,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,UBA10348,UBA10348,
FDZ070.RYBk22.24.dereplicated_genomes.bin.68,Bacteria,4484-113,4484-113,4484-113,,,
FDZ070.RYBk22.24.dereplicated_genomes.bin.76,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NORP154,,
FDZ070.RYBk4.6.dereplicated_genomes.bin.85,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,,,
FDZ070.RYBk4.6.dereplicated_genomes.bin.87,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
FDZ070.RYBk4.6.dereplicated_genomes.bin.98,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,UBA2165,,
FDZ070.RYBk6.8.dereplicated_genomes.bin.10,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
FDZ070.RYBk6.8.dereplicated_genomes.bin.122,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
FDZ070.RYBk6.8.dereplicated_genomes.bin.18,Bacteria,Latescibacterota,UBA2968,UBA8231,UBA8231,,
FDZ070.RYBk6.8.dereplicated_genomes.bin.6,Bacteria,Actinobacteriota,Acidimicrobiia,UBA5794,UBA5794,,
FDZ070.RYBk8.10.dereplicated_genomes.bin.12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,UBA2767,
FDZ070.WuBeBe0.2.dereplicated_genomes.bin.109,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Afifellaceae,,
FDZ070.WuBeBe0.2.dereplicated_genomes.bin.150,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,,,
FDZ070.WuBeBe10.12.dereplicated_genomes.bin.145,Bacteria,Proteobacteria,Gammaproteobacteria,UBA4486,UBA4486,,
FDZ070.WuBeBe12.14.dereplicated_genomes.bin.109,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,,
FDZ070.WuBeBe12.14.dereplicated_genomes.bin.43,Bacteria,Omnitrophota,Koll11,UBA10015,Kpj58rc,2-02-FULL-52-10,
FDZ070.WuBeBe12.14.dereplicated_genomes.bin.51,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,,,
FDZ070.WuBeBe16.18.dereplicated_genomes.bin.99,Bacteria,Omnitrophota,Koll11,4484-171,4484-171,,
FDZ070.WuBeBe18.20.dereplicated_genomes.bin.110,Bacteria,Nitrospinota,,,,,
FDZ070.WuBeBe18.20.dereplicated_genomes.bin.121,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
FDZ070.WuBeBe2.4.dereplicated_genomes.bin.124,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,,,
FDZ070.WuBeBe2.4.dereplicated_genomes.bin.46,Bacteria,Myxococcota_A,UBA9160,UBA9160,UBA4427,UBA4427,
FDZ070.WuBeBe2.4.dereplicated_genomes.bin.64,Bacteria,Planctomycetota,UBA1135,UBA2386,UBA2386,,
FDZ070.WuBeBe20.23.dereplicated_genomes.bin.25,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,,
FDZ070.WuBeBe20.23.dereplicated_genomes.bin.59,Bacteria,,,,,,
FDZ070.WuBeBe20.23.dereplicated_genomes.bin.84,Bacteria,Omnitrophota,Koll11,,,,
FDZ070.WuBeBe8.10.dereplicated_genomes.bin.132,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,JABMNX01,JABMNX01,
FDZ070.WuRG10.12.dereplicated_genomes.bin.16,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
FDZ070.WuRG10.12.dereplicated_genomes.bin.18,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Magnetobacteriaceae,,
FDZ070.WuRG10.12.dereplicated_genomes.bin.21,Bacteria,Proteobacteria,Alphaproteobacteria,UBA8366,,,
FDZ070.WuRG10.12.dereplicated_genomes.bin.22,Bacteria,Nitrospinota,,,,,
FDZ070.WuRG10.12.dereplicated_genomes.bin.30,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Maricaulaceae,Robiginitomaculum_B,
FDZ070.WuRG12.14.dereplicated_genomes.bin.12,Bacteria,Proteobacteria,Gammaproteobacteria,SZUA-229,SZUA-229,,
FDZ070.WuRG12.14.dereplicated_genomes.bin.26,Bacteria,Nitrospinota,UBA7883,UBA7883,,,
FDZ070.WuRG12.14.dereplicated_genomes.bin.27,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,,,
FDZ070.WuRG12.14.dereplicated_genomes.bin.48,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,
FDZ070.WuRG12.14.dereplicated_genomes.bin.62,Bacteria,Nitrospinota,UBA7883,,,,
FDZ070.WuRG12.14.dereplicated_genomes.bin.72,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,JdFR-86,,
FDZ070.WuRG12.14.dereplicated_genomes.bin.73,Bacteria,Nitrospinota,UBA7883,UBA7883,UBA7883,,
FDZ070.WuRG12.14.dereplicated_genomes.bin.76,Bacteria,Nitrospinota,UBA7883,,,,
FDZ070.WuRG12.14.dereplicated_genomes.bin.81,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,,,
FDZ070.WuRG12.14.dereplicated_genomes.bin.83,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,,,
FDZ070.WuRG12.14.dereplicated_genomes.bin.88,Bacteria,Nitrospinota,UBA7883,UBA7883,UBA7883,,
FDZ070.WuRG12.14.dereplicated_genomes.bin.89,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,,,
FDZ070.WuRG12.14.dereplicated_genomes.bin.95,Bacteria,Zixibacteria,MSB-5A5,GN15,12-Feb,,
FDZ070.WuRG14.16.dereplicated_genomes.bin.13,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,ETH-SRB1,Desulfaltia,
FDZ070.WuRG14.16.dereplicated_genomes.bin.16,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,UBA11574,,
FDZ070.WuRG14.16.dereplicated_genomes.bin.20,Bacteria,Armatimonadota,UBA5377,UBA5377,,,
FDZ070.WuRG14.16.dereplicated_genomes.bin.23,Bacteria,UBP18,UBA7526,UBA7526,UBA7526,DRGV01,
FDZ070.WuRG14.16.dereplicated_genomes.bin.43,Bacteria,Marinisomatota,Marinisomatia,Marinisomatales,,,
FDZ070.WuRG4.6.dereplicated_genomes.bin.50,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,
FDZ070.WuRG4.6.dereplicated_genomes.bin.54,Bacteria,Desulfobacterota_D,UBA1144,UBA2774,UBA2774,,
FDZ070.WuRG6.8.dereplicated_genomes.bin.45,Bacteria,Bacteroidota,Bacteroidia,NS11-12g,UBA9320,UBA9320,
FDZ070.WuRG6.8.dereplicated_genomes.bin.54,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA918,OLB19,
FDZ070.WuRG6.8.dereplicated_genomes.bin.63,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
FDZ070.WuRG6.8.dereplicated_genomes.bin.65,Bacteria,Patescibacteria,ABY1,,,,
FDZ070.WuRG6.8.dereplicated_genomes.bin.71,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,,
FDZ070.WuRG6.8.dereplicated_genomes.bin.77,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Parvularculaceae,Marinicaulis,
FDZ070.WuRG8.10.dereplicated_genomes.bin.1,Bacteria,Planctomycetota,Brocadiae,Brocadiales,,,
FDZ070.WuRG8.10.dereplicated_genomes.bin.24,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA11579,,
FDZ070.WuRG8.10.dereplicated_genomes.bin.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,,
FDZ070.WuRG8.10.dereplicated_genomes.bin.35,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,,
FDZ070.WuRG8.10.dereplicated_genomes.bin.8,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,,,
FDZ070.WuWW0.2.dereplicated_genomes.bin.24,Bacteria,KSB1,UBA2214,CR04bin15,CR04bin15,,
FDZ070.WuWW0.2.dereplicated_genomes.bin.51,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,,
FDZ070.WuWW12.14.dereplicated_genomes.bin.1,Bacteria,Omnitrophota,Koll11,2-02-FULL-51-18,,,
FDZ070.WuWW12.14.dereplicated_genomes.bin.104,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,,
FDZ070.WuWW12.14.dereplicated_genomes.bin.29,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,,
FDZ070.WuWW12.14.dereplicated_genomes.bin.41,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,UBA2987,,
FDZ070.WuWW12.14.dereplicated_genomes.bin.82,Bacteria,Planctomycetota,Planctomycetia,,,,
FDZ070.WuWW20.22.dereplicated_genomes.bin.103,Bacteria,Zixibacteria,MSB-5A5,UM-FILTER-46-8,UM-FILTER-46-8,,
FDZ070.WuWW20.22.dereplicated_genomes.bin.111,Bacteria,Nitrospinota,UBA7883,,,,
FDZ070.WuWW20.22.dereplicated_genomes.bin.116,Bacteria,Nitrospinota,,,,,
FDZ070.WuWW20.22.dereplicated_genomes.bin.119,Bacteria,Nitrospinota,UBA7883,UBA7883,UBA7883,,
FDZ070.WuWW20.22.dereplicated_genomes.bin.123,Bacteria,Desulfobacterota,GWC2-55-46,GWC2-55-46,,,
FDZ070.WuWW20.22.dereplicated_genomes.bin.13,Bacteria,Margulisbacteria,,,,,
FDZ070.WuWW20.22.dereplicated_genomes.bin.135,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
FDZ070.WuWW20.22.dereplicated_genomes.bin.140,Bacteria,Patescibacteria,Dojkabacteria,J137,,,
FDZ070.WuWW20.22.dereplicated_genomes.bin.16,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,,
FDZ070.WuWW20.22.dereplicated_genomes.bin.23,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,,,
FDZ070.WuWW20.22.dereplicated_genomes.bin.25,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,SZUA-36,,
FDZ070.WuWW20.22.dereplicated_genomes.bin.35,Bacteria,Planctomycetota,,,,,
FDZ070.WuWW20.22.dereplicated_genomes.bin.38,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Magnetobacteriaceae,,
FDZ070.WuWW20.22.dereplicated_genomes.bin.43,Bacteria,Omnitrophota,Koll11,UBA1572,,,
FDZ070.WuWW20.22.dereplicated_genomes.bin.59,Bacteria,Marinisomatota,Marinisomatia,Marinisomatales,TCS55,UBA2126,
FDZ070.WuWW20.22.dereplicated_genomes.bin.60,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,UBA9145,
FDZ070.WuWW20.22.dereplicated_genomes.bin.70,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,Magnetobacteriaceae,,
FDZ070.WuWW20.22.dereplicated_genomes.bin.71,Bacteria,Patescibacteria,Gracilibacteria,,,,
FDZ070.WuWW20.22.dereplicated_genomes.bin.72,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA11579,,
FDZ070.WuWW20.22.dereplicated_genomes.bin.74,Bacteria,CG03,CG03,CG03,CG03,,
FDZ070.WuWW20.22.dereplicated_genomes.bin.8,Bacteria,Proteobacteria,Gammaproteobacteria,UBA9214,UBA9214,,
FDZ070.WuWW20.22.dereplicated_genomes.bin.89,Bacteria,Verrucomicrobiota,Kiritimatiellae,JAAZAB01,,,
FDZ070.WuWW20.22.dereplicated_genomes.bin.95,Bacteria,Patescibacteria,ABY1,,,,
FDZ070.WuWW8.10.dereplicated_genomes.bin.10,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,,,
FDZ070.WuWW8.10.dereplicated_genomes.bin.3,Bacteria,Patescibacteria,ABY1,UBA2591,UBA6264,,
FDZ070.WuWW8.10.dereplicated_genomes.bin.5,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,PRS1,
FDZ070.WuWW8.10.dereplicated_genomes.bin.91,Bacteria,Sumerlaeota,Sumerlaeia,,,,
FDZ070.WuWY0.2.dereplicated_genomes.bin.38,Bacteria,Zixibacteria,MSB-5A5,DSPP01,,,
FDZ070.WuWY10.12.dereplicated_genomes.bin.2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NORP154,GCA-2400975,
FDZ070.WuWY10.12.dereplicated_genomes.bin.42,Bacteria,Marinisomatota,Marinisomatia,SCGC-AAA003-L08,,,
FDZ070.WuWY12.14.dereplicated_genomes.bin.27,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,,,
FDZ070.WuWY12.14.dereplicated_genomes.bin.41,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Emcibacteraceae,Paremcibacter,
FDZ070.WuWY12.14.dereplicated_genomes.bin.57,Bacteria,Omnitrophota,Koll11,UBA10015,Kpj58rc,,
FDZ070.WuWY12.14.dereplicated_genomes.bin.85,Bacteria,Zixibacteria,MSB-5A5,GN15,12-Feb,,
FDZ070.WuWY14.16.dereplicated_genomes.bin.101,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,,
FDZ070.WuWY14.16.dereplicated_genomes.bin.118,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,,,
FDZ070.WuWY14.16.dereplicated_genomes.bin.119,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,GCA-2746185,,
FDZ070.WuWY14.16.dereplicated_genomes.bin.4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Casp-alpha2,,
FDZ070.WuWY14.16.dereplicated_genomes.bin.5,Bacteria,Sumerlaeota,Sumerlaeia,,,,
FDZ070.WuWY14.16.dereplicated_genomes.bin.94,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,,,
FDZ070.WuWY16.18.dereplicated_genomes.bin.55,Bacteria,Planctomycetota,Brocadiae,,,,
FDZ070.WuWY16.18.dereplicated_genomes.bin.7,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,,,
FDZ070.WuWY18.20.dereplicated_genomes.bin.100,Bacteria,Patescibacteria,Gracilibacteria,UM-FILTER-43-11,UM-FILTER-43-11,,
FDZ070.WuWY20.22.dereplicated_genomes.bin.17,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,GCA-2746185,,
FDZ070.WuWY28.30.dereplicated_genomes.bin.13,Bacteria,Marinisomatota,Marinisomatia,Marinisomatales,SCKK01,,
FDZ070.WuWY28.30.dereplicated_genomes.bin.6,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,VadinHA17,,
FDZ070.WuWY4.6.dereplicated_genomes.bin.34,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NORP154,GCA-2400975,
FDZ070.WuWY6.8.dereplicated_genomes.bin.100,Bacteria,Proteobacteria,Alphaproteobacteria,SMXQ01,SMXQ01,SMXQ01,
FDZ070.WuWY6.8.dereplicated_genomes.bin.40,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,,
FDZ071.BUG2.4.dereplicated_genomes.bin.104,Bacteria,Omnitrophota,Omnitrophia,Omnitrophales,UBA2337,,
FDZ071.BUG2.4.dereplicated_genomes.bin.115,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Casp-alpha2,Casp-alpha2,
FDZ071.BUG2.4.dereplicated_genomes.bin.3,Bacteria,Proteobacteria,Gammaproteobacteria,UBA6522,UBA6522,,
FDZ071.BUG4.6.dereplicated_genomes.bin.20,Bacteria,SM23-31,SM23-31,,,,
FDZ071.BaYG0.2.dereplicated_genomes.bin.1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,
FDZ071.BaYG0.2.dereplicated_genomes.bin.19,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,,
FDZ071.BaYG0.2.dereplicated_genomes.bin.27,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Vicingaceae,,
FDZ071.BaYG0.2.dereplicated_genomes.bin.28,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,,
FDZ071.BaYG0.2.dereplicated_genomes.bin.37,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,,,
FDZ071.BaYG0.2.dereplicated_genomes.bin.5,Bacteria,Myxococcota_A,UBA9160,UBA9160,UBA4427,,
FDZ071.BaYG0.2.dereplicated_genomes.bin.7,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,DSM-21967,Oceanicoccus,
FDZ071.BaYG14.16.dereplicated_genomes.bin.10,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Kocuria,
FDZ071.BaYG14.16.dereplicated_genomes.bin.11,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,
FDZ071.BaYG14.16.dereplicated_genomes.bin.13,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_A,
FDZ071.BaYG14.16.dereplicated_genomes.bin.2,Bacteria,Planctomycetota,UBA8108,UBA1146,UBA1146,UBA1146,
FDZ071.BaYG14.16.dereplicated_genomes.bin.21,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,,
FDZ071.BaYG14.16.dereplicated_genomes.bin.7,Bacteria,Nitrospirota,Nitrospiria,,,,
FDZ071.BaYG2.4.dereplicated_genomes.bin.8,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,,,
FDZ071.BaYR0.2.dereplicated_genomes.bin.55,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,,,
FDZ071.BaYR0.2.dereplicated_genomes.bin.79,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
FDZ071.BaYR0.2.dereplicated_genomes.bin.87,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,,
FDZ071.BaYR0.2.dereplicated_genomes.bin.88,Bacteria,Proteobacteria,Gammaproteobacteria,UBA4486,UBA4486,UBA7359,
FDZ071.BaYR8.10.dereplicated_genomes.bin.24,Bacteria,Myxococcota_A,UBA9160,UBA9160,SMWR01,,
FDZ071.RRG2.4.dereplicated_genomes.bin.121,Bacteria,Proteobacteria,Gammaproteobacteria,UBA4486,UBA4486,UBA7359,
FDZ071.RRG2.4.dereplicated_genomes.bin.3,Bacteria,SAR324,SAR324,SAR324,,,
